Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-hoist-variables,1,57,44,43,6,13,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-hoist-variables\lib,1,57,44,43,6,13,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-member-expression-to-functions,1,136,110,87,12,26,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-member-expression-to-functions\lib,1,136,110,87,12,26,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-module-imports,4,471,387,329,60,84,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-module-imports\lib,4,471,387,329,60,84,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-module-transforms,4,925,775,578,127,150,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-module-transforms\lib,4,925,775,578,127,150,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-optimise-call-expression,1,22,17,24,3,5,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-optimise-call-expression\lib,1,22,17,24,3,5,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-plugin-utils,2,173,135,84,26,29,0,9,90,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-plugin-utils\lib,1,77,59,44,13,18,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-plugin-utils\src,1,96,76,40,13,11,0,9,90,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-regex,1,30,23,20,4,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-regex\lib,1,30,23,20,4,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-remap-async-to-generator,1,78,60,56,7,18,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-remap-async-to-generator\lib,1,78,60,56,7,18,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-replace-supers,1,211,166,130,25,45,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-replace-supers\lib,1,211,166,130,25,45,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-simple-access,1,79,67,60,9,12,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-simple-access\lib,1,79,67,60,9,12,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-split-export-declaration,1,62,48,51,9,14,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-split-export-declaration\lib,1,62,48,51,9,14,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-wrap-function,1,120,98,83,13,22,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helper-wrap-function\lib,1,120,98,83,13,22,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helpers,2,2190,1759,1185,337,229,85,202,1097,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\helpers\lib,2,2190,1759,1185,337,229,85,202,1097,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\highlight,1,129,101,83,29,28,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\highlight\lib,1,129,101,83,29,28,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\parser,2,12213,9947,7178,2232,2265,0,1,4,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\parser\bin,1,17,11,9,1,5,0,1,4,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\parser\lib,1,12196,9936,7169,2231,2260,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-async-generator-functions,2,190,160,108,13,30,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-async-generator-functions\lib,2,190,160,108,13,30,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-class-properties,1,26,19,14,1,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-class-properties\lib,1,26,19,14,1,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-decorators,2,256,210,147,38,46,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-decorators\lib,2,256,210,147,38,46,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-dynamic-import,1,53,40,24,2,13,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-dynamic-import\lib,1,53,40,24,2,13,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-json-strings,1,42,33,28,4,9,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-json-strings\lib,1,42,33,28,4,9,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-nullish-coalescing-operator,1,51,39,30,3,12,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-nullish-coalescing-operator\lib,1,51,39,30,3,12,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-numeric-separator,1,58,43,30,4,15,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-numeric-separator\lib,1,58,43,30,4,15,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-object-rest-spread,1,403,322,254,50,81,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-object-rest-spread\lib,1,403,322,254,50,81,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-optional-catch-binding,1,32,25,20,2,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-optional-catch-binding\lib,1,32,25,20,2,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-optional-chaining,1,113,91,71,11,22,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-optional-chaining\lib,1,113,91,71,11,22,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-unicode-property-regex,1,31,24,17,2,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-proposal-unicode-property-regex\lib,1,31,24,17,2,7,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-async-generators,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-async-generators\lib,1,22,16,13,1,6,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-decorators,1,50,39,28,6,11,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-decorators\lib,1,50,39,28,6,11,0,0,0,0,0
C:\Users\USAMA\Desktop\FYP2\event_hub\node_modules\@babel\plugin-syntax-dynamic-import,1,22,16,13,1,6,0,0,0,0,0
